Journal name,JCR Abbreviation,ISSN,eISSN,Category,2021 JIF
FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,0168-6445,1574-6976,MICROBIOLOGY - SCIE,15.177
Small,SMALL,1613-6810,1613-6829,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",15.153
NATURAL PRODUCT REPORTS,NAT PROD REP,0265-0568,1460-4752,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,15.111
Science Advances,SCI ADV,2375-2548,2375-2548,MULTIDISCIPLINARY SCIENCES - SCIE,14.98
One Earth,ONE EARTH,2590-3330,2590-3322,ENVIRONMENTAL SCIENCES - SCIE; ENVIRONMENTAL STUDIES - SSCI,14.944
ALLERGY,ALLERGY,0105-4538,1398-9995,IMMUNOLOGY - SCIE,14.71
PROGRESS IN LIPID RESEARCH,PROG LIPID RES,0163-7827,1873-2194,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,14.673
JOURNAL OF AUTOIMMUNITY,J AUTOIMMUN,0896-8411,1095-9157,IMMUNOLOGY - SCIE,14.511
JOURNAL OF CLINICAL VIROLOGY,J CLIN VIROL,1386-6532,1873-5967,VIROLOGY - SCIE,14.481
BIOLOGICAL REVIEWS,BIOL REV,1464-7931,1469-185X,BIOLOGY - SCIE,14.355
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,14.34
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,J ALLERGY CLIN IMMUN,0091-6749,1097-6825,IMMUNOLOGY - SCIE,14.29
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,1569-1705,1572-9826,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE,14.284
TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,0968-0004,1362-4326,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,14.264
Annual Review of Virology,ANNU REV VIROL,2327-056X,2327-0578,VIROLOGY - SCIE,14.263
JOURNAL OF HAZARDOUS MATERIALS,J HAZARD MATER,0304-3894,1873-3336,ENVIRONMENTAL SCIENCES - SCIE,14.224
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,1467-5463,1477-4054,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,13.994
REMOTE SENSING OF ENVIRONMENT,REMOTE SENS ENVIRON,0034-4257,1879-0704,ENVIRONMENTAL SCIENCES - SCIE,13.85
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,ECOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE,13.789
EMBO JOURNAL,EMBO J,0261-4189,1460-2075,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,13.783
RESOURCES CONSERVATION AND RECYCLING,RESOUR CONSERV RECY,0921-3449,1879-0658,ENVIRONMENTAL SCIENCES - SCIE,13.716
Trends in Environmental Analytical Chemistry,TRENDS ENVIRON ANAL,2214-1588,2214-1588,ENVIRONMENTAL SCIENCES - SCIE,13.622
Environmental Chemistry Letters,ENVIRON CHEM LETT,1610-3653,1610-3661,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; ENVIRONMENTAL SCIENCES - SCIE",13.615
MOLECULAR PSYCHIATRY,MOL PSYCHIATR,1359-4184,1476-5578,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,13.437
DEVELOPMENTAL CELL,DEV CELL,1534-5807,1878-1551,CELL BIOLOGY - SCIE,13.417
WATER RESEARCH,WATER RES,0043-1354,1879-2448,ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE,13.4
Autophagy,AUTOPHAGY,1554-8627,1554-8635,CELL BIOLOGY - SCIE,13.391
ENVIRONMENT INTERNATIONAL,ENVIRON INT,0160-4120,1873-6750,ENVIRONMENTAL SCIENCES - SCIE,13.352
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,2165-8102,2165-8110,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE; ZOOLOGY - SCIE,13.341
CLINICAL MICROBIOLOGY AND INFECTION,CLIN MICROBIOL INFEC,1198-743X,1469-0691,INFECTIOUS DISEASES - SCIE; MICROBIOLOGY - SCIE,13.31
PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,1467-7644,1467-7652,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,13.263
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,BIODIVERSITY CONSERVATION - SCIE; ECOLOGY - SCIE; ENVIRONMENTAL SCIENCES - SCIE,13.212
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,1092-2172,1098-5557,MICROBIOLOGY - SCIE,13.044
MOLECULAR THERAPY,MOL THER,1525-0016,1525-0024,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,12.91
GENES & DEVELOPMENT,GENE DEV,0890-9369,1549-5477,CELL BIOLOGY - SCIE,12.89
Tourism Management,TOURISM MANAGE,0261-5177,1879-3193,ENVIRONMENTAL STUDIES - SSCI,12.879
Journal of Advanced Research,J ADV RES,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES - SCIE,12.822
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,0027-8424,1091-6490,MULTIDISCIPLINARY SCIENCES - SCIE,12.779
JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,1021-7770,1423-0127,CELL BIOLOGY - SCIE,12.771
Molecular Systems Biology,MOL SYST BIOL,1744-4292,1744-4292,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,12.744
BIOSENSORS & BIOELECTRONICS,BIOSENS BIOELECTRON,0956-5663,1873-4235,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,12.545
Journal for ImmunoTherapy of Cancer,J IMMUNOTHER CANCER,N/A,2051-1426,IMMUNOLOGY - SCIE,12.485
NANO LETTERS,NANO LETT,1530-6984,1530-6992,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",12.262
npj Clean Water,NPJ CLEAN WATER,2059-7037,2059-7037,ENVIRONMENTAL SCIENCES - SCIE; WATER RESOURCES - SCIE,12.19
EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,1226-3613,2092-6413,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,12.172
PLANT CELL,PLANT CELL,1040-4651,1532-298X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,12.085
JOURNAL OF PINEAL RESEARCH,J PINEAL RES,0742-3098,1600-079X,PHYSIOLOGY - SCIE,12.081
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,1350-9047,1476-5403,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,12.073
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,INT J INFECT DIS,1201-9712,1878-3511,INFECTIOUS DISEASES - SCIE,12.073
Cancer Immunology Research,CANCER IMMUNOL RES,2326-6066,2326-6074,IMMUNOLOGY - SCIE,12.02
Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,1081-0706,1530-8995,CELL BIOLOGY - SCIE,11.902
BIORESOURCE TECHNOLOGY,BIORESOURCE TECHNOL,0960-8524,1873-2976,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,11.889
PHYSIOLOGY,PHYSIOLOGY,1548-9213,1548-9221,PHYSIOLOGY - SCIE,11.846
AGEING RESEARCH REVIEWS,AGEING RES REV,1568-1637,1872-9649,CELL BIOLOGY - SCIE,11.788
Seminars in Immunopathology,SEMIN IMMUNOPATHOL,1863-2297,1863-2300,IMMUNOLOGY - SCIE; PATHOLOGY - SCIE,11.759
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CRIT REV ENV SCI TEC,1064-3389,1547-6537,ENVIRONMENTAL SCIENCES - SCIE,11.75
JOURNAL OF CLINICAL MICROBIOLOGY,J CLIN MICROBIOL,0095-1137,1098-660X,MICROBIOLOGY - SCIE,11.677
BIOSCIENCE,BIOSCIENCE,0006-3568,1525-3244,BIOLOGY - SCIE,11.572
Environmental Science & Technology Letters,ENVIRON SCI TECH LET,2328-8930,N/A,ENVIRONMENTAL SCIENCES - SCIE,11.558
ENERGY CONVERSION AND MANAGEMENT,ENERG CONVERS MANAGE,0196-8904,1879-2227,THERMODYNAMICS - SCIE,11.533
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,1759-0876,1759-0884,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE",11.5
JOURNAL OF CONTROLLED RELEASE,J CONTROL RELEASE,0168-3659,1873-4995,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",11.467
Biochar,BIOCHAR,2524-7972,2524-7867,ENVIRONMENTAL SCIENCES - SCIE,11.452
DRUGS,DRUGS,0012-6667,1179-1950,TOXICOLOGY - SCIE,11.431
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,0304-419X,1879-2561,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,11.414
ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,0013-936X,1520-5851,ENVIRONMENTAL SCIENCES - SCIE,11.357
ECOLOGY LETTERS,ECOL LETT,1461-023X,1461-0248,ECOLOGY - SCIE,11.274
ISME Journal,ISME J,1751-7362,1751-7370,ECOLOGY - SCIE; MICROBIOLOGY - SCIE,11.217
DESALINATION,DESALINATION,0011-9164,1873-4464,WATER RESOURCES - SCIE,11.211
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,0959-3780,1872-9495,ENVIRONMENTAL SCIENCES - SCIE; ENVIRONMENTAL STUDIES - SSCI,11.16
Advanced Healthcare Materials,ADV HEALTHC MATER,2192-2640,2192-2659,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",11.092
Cell Systems,CELL SYST,2405-4712,2405-4720,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,11.091
Journal of Cleaner Production,J CLEAN PROD,0959-6526,1879-1786,ENVIRONMENTAL SCIENCES - SCIE,11.072
EXERCISE IMMUNOLOGY REVIEW,EXERC IMMUNOL REV,1077-5552,1077-5552,IMMUNOLOGY - SCIE,11.067
Biofabrication,BIOFABRICATION,1758-5082,1758-5090,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",11.061
REVIEWS IN MEDICAL VIROLOGY,REV MED VIROL,1052-9276,1099-1654,VIROLOGY - SCIE,11.043
Research,RESEARCH-CHINA,2096-5168,2639-5274,MULTIDISCIPLINARY SCIENCES - SCIE,11.036
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,0091-6765,1552-9924,ENVIRONMENTAL SCIENCES - SCIE; TOXICOLOGY - SCIE,11.035
GREEN CHEMISTRY,GREEN CHEM,1463-9262,1463-9270,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",11.034
Journal of Allergy and Clinical Immunology-In Practice,J ALLER CL IMM-PRACT,2213-2198,2213-2201,IMMUNOLOGY - SCIE,11.022
AGING CELL,AGING CELL,1474-9718,1474-9726,CELL BIOLOGY - SCIE,11.005
IMMUNOLOGICAL REVIEWS,IMMUNOL REV,0105-2896,1600-065X,IMMUNOLOGY - SCIE,10.983
CURRENT BIOLOGY,CURR BIOL,0960-9822,1879-0445,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; BIOLOGY - SCIE; CELL BIOLOGY - SCIE,10.9
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,CLIN REV ALLERG IMMU,1080-0549,1559-0267,IMMUNOLOGY - SCIE,10.817
Business Strategy and the Environment,BUS STRATEG ENVIRON,0964-4733,1099-0836,ENVIRONMENTAL STUDIES - SSCI,10.801
Redox Biology,REDOX BIOL,2213-2317,2213-2317,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,10.787
Materials Today Bio,MATER TODAY BIO,2590-0064,2590-0064,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",10.761
Science of the Total Environment,SCI TOTAL ENVIRON,0048-9697,1879-1026,ENVIRONMENTAL SCIENCES - SCIE,10.754
International Journal of Biological Sciences,INT J BIOL SCI,1449-2288,1449-2288,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,10.75
SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,1044-5323,1096-3618,IMMUNOLOGY - SCIE,10.671
Acta Biomaterialia,ACTA BIOMATER,1742-7061,1878-7568,"MATERIALS SCIENCE, BIOMATERIALS - SCIE",10.633
TRENDS IN PARASITOLOGY,TRENDS PARASITOL,1471-4922,1471-5007,PARASITOLOGY - SCIE,10.528
Infectious Diseases of Poverty,INFECT DIS POVERTY,2095-5162,2049-9957,INFECTIOUS DISEASES - SCIE; PARASITOLOGY - SCIE,10.485
MATRIX BIOLOGY,MATRIX BIOL,0945-053X,1569-1802,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE; CELL BIOLOGY - SCIE,10.447
Inflammation and Regeneration,INFLAMM REGEN,N/A,1880-8190,IMMUNOLOGY - SCIE,10.426
Science China-Life Sciences,SCI CHINA LIFE SCI,1674-7305,1869-1889,BIOLOGY - SCIE,10.384
CURRENT OPINION IN BIOTECHNOLOGY,CURR OPIN BIOTECH,0958-1669,1879-0429,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE,10.279
